durakid	durakadi	enlem	boylam	sira	guzergahid
563	7. KAZAKİSTAN CD- ŞEVKET SÜREYYA AYDEMİR SK KESİŞTİGİ YER.	39.9287605	32.82312379999996	525	56
564	8. KAZAKİSTAN CD-25. SK KESİŞTİGİ YER.	39.9259905	32.82296629999996	526	56
1694	9. KAZAKİSTAN CAD-14 SK KESİŞTİGİ YER.	39.9217907	32.82253700000001	1638	56
1695	10. 12.SK EMEK CAMİNİN KESİŞTİGİ YER.	39.920083	32.819239700000026	1639	56
1698	11 BİŞKEK CD-6. SK KESİŞTİGİ YER.	39.919446	32.81749049999996	1642	56
1713	12.BİŞKEK CD-9. SK KESİŞTİGİ YER.	39.9169495	32.81739019999998	1657	56
1714	13. BOSNA HERSEK CD-17. SK KESİŞTİGİ YER.	39.9169032	32.82010349999996	1658	56
1757	14.BAKANLIK HİZMET BİNASI	39.91120069999999	32.79270070000007	1701	56
814	1. 2853. CD- SAFRANBOLU CD. KESİŞTİGİ YER.	39.8773714	32.67853439999999	761	57
816	2. 2926. CD- AHMET TANER KIŞLALI CD KESİŞTİGİ YER.	39.8790547	32.68538760000001	763	57
1511	3.2432. Cd.	39.881370100000034	32.683908900000006	1458	57
1512	4. 2432. CD- 2892 SK KESİŞTİGİ YER.	39.8834587	32.68884200000002	1459	57
1513	5. 2432. CD- 2674. SK KESİŞTİGİ YER.	39.885105	32.69291399999997	1460	57
1514	6. 2432. Cd.- OPET PETROL.	39.8887072	32.70166059999997	1461	57
1515	7. 2432. CD.- 1926. SK KESİŞTİGİ YER.	39.8911587	32.70194059999994	1462	57
1800	8. 2432 CD-1921. SK KESİŞTİGİ YER.	39.8934652	32.70279670000002	1744	57
1801	9. 2432 CD.- 1974. SK KESİŞTİGİ YER.	39.902852	32.70929019999994	1745	57
1880	10.BAKANLIK HİZMET BİNASI	39.910621101044896	32.793097276281514	1824	57
753	1. 3441. SK-3451. SK-KAVŞAĞI	39.8234022	32.66330049999999	700	58
754	2. 3464 SK. 3441 SK. KAVŞAĞI	39.8299551	32.66157850000002	701	58
758	3. YONCA CD-YASEMİN CD. BAŞI	39.83503346046599	32.66536689234317	705	58
1540	4.DODURGA KÖYÜ YOLU	39.84789561111484	32.683634770886215	1487	58
1541	5.3381. Sk.3362 SK. KESİŞTİĞİ YER	39.8579414	32.66777389999993	1488	58
1542	7. PARK CD- KAPLAN SK- KESİŞTİĞİ YER.	39.8613969	32.667899199999965	1489	58
1543	6. Park Cd. 4933 SK.	39.860816	32.666254500000036	1490	58
1544	8.PARK CD- 4931. SK. BAŞI	39.861884	32.6720689	1491	58
1545	9.2864. CD-2885. SK. BAŞI	39.86650770000001	32.67767290000006	1492	58
1546	10. ALACAATLI CD-2856 SK BAŞI	39.87263799999999	32.687868500000036	1493	58
1547	11. BEYLER CD. 3834 SK. BAŞI	39.8638464	32.69103949999999	1494	58
1548	12. BEYLER CD.1643 SK. BAŞI	39.864652	32.702219300000024	1495	58
1549	13.S. SALTOĞLU BLV.	39.877830618219406	32.70803296382371	1496	58
1550	14. S. SALTOĞLU BLV.	39.88449611244083	32.71490197486878	1497	58
1551	15. ANGORA BLV.2032. SK BAŞI	39.89084769999999	32.7223113	1498	58
1799	16. BAKANLIK HİZMET BİNASI.	39.91044397816408	32.793084383010864	1743	58
786	1. 3061. Cd- 3029.SK KESİŞTİGİ YER.	39.8708196	32.66440179999995	733	59
787	2. 3061. CD- 2939. SK. KESİŞTİGİ YER.	39.8731173	32.666143499999976	734	59
788	3. 2432. CD- 2967. SK KESİŞTİGİ YER.	39.8750917	32.67070769999998	735	59
792	4. 2965. CD- ZİRAAT BANKASI ATM KARŞISI.	39.8790916	32.665016700000024	739	59
793	5.2945.CD- 2949. SK KESİŞTİGİ YER.	39.882430934110616	32.667039511045004	740	59
1623	6. 2638. SK- 2630. SK KESİŞTİGİ YER.	39.8827881	32.6686727	1570	59
1624	7. 2629. CD- 2640.SK KESİŞTİGİ YER.	39.8815639	32.67238859999998	1571	59
1625	8. ANKARALILAR CD- 2644. SK KESİŞTİGİ YER.	39.8808958	32.67666750000001	1572	59
1626	9. ANKARALILAR CD-2584. SK KESİŞTİGİ YER.	39.88510814000451	32.6853926566223	1573	59
1627	10. BANGA BANDHU ŞEYH MUCUBİR RAHMAN BLV. 2575. SK KESİŞTİGİ YER.	39.8886412	32.686446899999964	1574	59
1628	11. 2569. SK-2570. SK KESİŞTİGİ YER.	39.8936628	32.681087700000035	1575	59
1629	12.499. SK ESKİŞEHİR YOLU.	39.8987385	32.68769580000003	1576	59
1785	13 MEKSİKA CD. 2472. SK KESİŞTİGİYER.	39.9014458	32.69473199999993	1729	59
1786	14. MEKSİKA CD. 2438 SK KESİŞTİGİYER.	39.903136	32.70321149999995	1730	59
1872	15.BAKANLIK HİZMET BİNASI	39.9109375	32.79413069999998	1816	59
1437	1.3222. CD-3296. CD. KESİŞTİGİ YER.	39.8584559	32.644729600000005	1384	60
1439	2.3230. SK-3158. CD. KESİŞTİGİ YER.	39.8584677	32.6521735	1386	60
1440	3.3158. CD. 3296. CD KESİŞTİGİ YER.	39.8560082	32.651853800000026	1387	60
